Latitude,Longitude,NIMI1
25.160047347438002,60.22088993175689,Niinilahti
25.1754159089546,60.208160945439,Vuosaarenlahti
25.172556946367504,60.2104303200476,Ruusuniementie
25.1703898853521,60.2128910075219,Majakanvartijankatu
25.168661429600395,60.2246472307851,ABC Vuosaaren satama
25.1924996652295,60.25843741398089,Östersund. Kartano
25.195742834182898,60.2616756215405,Östersund. Ponikoulu
25.176248302900895,60.251562902292605,Östersundom
25.1739141243585,60.25143993663551,Östersundom
25.1421955968292,60.2430006340557,Westerkulla
25.142674730853898,60.2443160153819,Westerkulla
25.151608073579503,60.245217244897496,Vikkulla
25.1522650757749,60.245929643491,Vikkulla
25.155774005115198,60.24660826981461,Vikkulla 2
25.1561118747687,60.2474849994649,Vikkulla 2
25.164575041096302,60.24934991400661,Talosaarentie
25.163352499096398,60.249504249884794,Talosaarentie
25.1762850555651,60.251580529272296,Östersundom
25.173878015332303,60.251440255832,Östersundom
25.1860287873148,60.2533340002637,Östersundom 2
25.1834419957903,60.253222433282005,Östersundom 2
25.192213507495197,60.255037972806704,Karhusaarentie
25.1902733332482,60.254830968869804,Karhusaarentie
25.187587530415602,60.23851817351979,Talosaari
25.1871372443079,60.2495271302563,Östersund. kappeli
25.2066291237082,60.2506709607199,Skutholminkaari
25.207401918098,60.25105889419001,Skutholminkaari
25.1911883369513,60.254661191873296,Karhusaarentie
25.2012048745573,60.270719311582496,Landbo
25.1935602518469,60.271694816436,Miilumäentie
25.1920031681928,60.2696263037478,Karhunevantie
25.197634730585698,60.2684625952094,Landbonpolku
25.2023163435786,60.2704758738204,Landbo
25.1975565409263,60.268795422225196,Landbonpolku
25.1928525218748,60.2696276561654,Karhunevantie
25.1949312696412,60.271628634265205,Miilumäentie
25.154778993435997,60.2557906302913,Susiraja
25.154533828322503,60.2554965464998,Susiraja
25.201772125921,60.27091165941629,Landbo
25.196720068743502,60.2825097138441,Rajapysäkki
25.195787942330497,60.2822308652018,Rajapysäkki
24.840859512437,60.2212493641914,Mäkkylän asema
24.7255828684176,60.21050343750811,Kauniaisten kirjasto
24.7300792660699,60.206682045801,Smedsin kenttä
24.7044335274383,60.2150603460382,Kasavuoren päiväkoti
24.706580490262,60.213397406004894,Urheilutie
24.6995597211731,60.219143133140896,Kaunialan sairaala
24.699429574826798,60.221504423684394,Kauniaisten jäähalli
24.7253671978163,60.21462447160279,Bio Grani
24.7505671079082,60.218559347697,Karamalmi
24.812884051518502,60.21941305138311,Leppävaaran asema
24.8017506728505,60.2200821438317,Gransinmäenportti
24.8224129734169,60.225296339478206,Porarinkatu
24.823276378952,60.2273464472377,Vallityöläisenpolku
24.812538007540102,60.22438776303039,Hakkukuja
24.8121539971052,60.219803479776296,Leppävaaran keskus
24.8118913948857,60.2201282151029,Leppävaaran keskus
24.8196849850982,60.228059806897896,Vallikuja
24.8208953498144,60.227388119002896,Vallikuja
24.812946162599896,60.2197357999039,Leppävaaran keskus
24.812504286192897,60.2201065133283,Leppävaaran keskus
24.803528060913898,60.2226743754942,Gransinmäki
24.8063307117107,60.221445649059106,Gransinmäki
24.8108308947686,60.22321339608211,Veräjäpelto
24.810209531777502,60.2243571158704,Veräjäpelto
24.8077884221978,60.22129317357351,Ratsukatu
24.8174767908985,60.22852221228229,Rautakiskonkuja
24.816458107471103,60.2289234159313,Rautakiskonkuja
24.813320476184398,60.2282964177144,Vallikatu
24.814737239423,60.22866471401521,Vallikatu
24.8125484161578,60.2306438263241,Viserrystie
24.820089687062897,60.2261993167445,Vallikallionkuja
24.8141250504776,60.22289703266999,Timpurinkuja
24.8127355223138,60.2192434206458,Leppävaaran asema
24.8119796676946,60.219319852995994,Leppävaaran asema
24.8116004088561,60.2193042208811,Leppävaaran asema
24.8111316210047,60.2193160622195,Leppävaaran asema
24.812685058779,60.2266846663313,Ajurinkatu
24.8106797644027,60.21928291948979,Leppävaaran asema
24.8113794740831,60.221316150846995,Läkkisepänkuja
24.8098227301855,60.221110238175,Läkkisepänkuja
24.810156860027103,60.219295087888604,Leppävaaran asema
24.813330579925605,60.2192307999794,Leppävaaran asema
24.8122215616005,60.2188875345077,Leppävaaran asema
24.8119358273678,60.219005968087,Leppävaaranaukio
24.812709047488198,60.2189025022181,Leppävaaran asema
24.811608692838302,60.218909234934905,Leppävaaran asema
24.810888477527104,60.2189674915681,Leppävaaran asema
24.8105441934836,60.218906763777,Leppävaaran asema
24.811336079955396,60.221020214716795,Läkkisepänkuja
24.822757571053298,60.225366010644706,Porarinkatu
24.806919344282104,60.2285149939248,Kyyhkysmäki
24.8241435236999,60.22882207460239,Aseveljentie
24.811774258422698,60.228530275969604,Kyyhkyspuisto
24.8158584981956,60.2214951406818,Arkadianportaat
24.812280819107198,60.2285810323444,Kyyhkyspuistonpolku
24.8195868921976,60.224129011320706,Laturintörmä
24.814885397465503,60.2266352751651,Ajurinmäki
24.814078536226695,60.2283007472754,Vallikatu
24.809944532410398,60.2267821967214,Veräjäkallionkatu
24.8041677336163,60.2259556399165,Leppävaaran uimah.
24.8034750929583,60.225672608731394,Leppävaaran uimah.
24.813119560047497,60.2245547422991,Hakkukuja
24.8147551422856,60.222839312019,Timpurinkuja
24.8216820681955,60.219161411952896,Puustellinmäki
24.813718183056103,60.221768576537,Konstaapelinkatu
24.8141132874182,60.2216943475188,Konstaapelinkatu
24.821008259547803,60.2196323236506,Puustellinmäki
24.813844159965402,60.2290381991897,Vallikatu
24.804329850898398,60.2200485887407,Gransinmäenportti
24.8132479391185,60.2195364836556,Leppävaara
24.8132254572756,60.2193571053255,Leppävaara
24.812972913447197,60.2193586523358,Leppävaara
24.813191378797,60.21943809634029,Leppävaara
24.8082596252537,60.2257782015022,Leppäv. liikuntah.
24.8007657760115,60.2248273038192,Leppävaaran Stadion
24.808786417207898,60.2178583416111,Viaporintori
24.8088400894652,60.2178400629529,Viaporintori
24.810191293302303,60.2141068631423,Linnoitustie
24.8069141719575,60.2172863097855,Rummunlyöjänkatu
24.7995580354758,60.2137584605064,Ruusutorppa
24.804100722904202,60.2173213354738,Huvilinnanpiha
24.8007174722664,60.2147029050387,Ruusutorppa
24.800390516636,60.2168321403489,Säterinpuistontie
24.797828919404896,60.20940662872621,Hirsalantie
24.806543477126798,60.216148636292,Huvilinna
24.810565553285304,60.2190412703588,Leppävaaran asema
24.806560359107298,60.214631623257,Ruusutorpanpolku
24.804587811685,60.21437432177011,Säterinrinne
24.8054258318232,60.213974303618706,Säterinrinne
24.796346276573,60.2099989606964,Masalantie
24.800279822611298,60.2100650568087,Pikkalantie
24.804028215280102,60.2099346904918,Salmintie
24.800900123211,60.2140555456376,Ruusutorppa
24.8117382382124,60.215389927241404,Sokerilinnantie
24.8114030272396,60.214234097765505,Säterinkatu
24.812323111027002,60.2164275425355,Sokerilinnantie
24.8100168024683,60.21361425879311,Etuvartio
24.811185135349003,60.2134455585181,Linnoitustie
24.815795205314398,60.218946400957606,Leppävaaran asema
24.8169398940041,60.2192714655663,Leppävaaran asema
24.815417261619803,60.212441260335396,Säteri
24.811863469857897,60.2124271441801,Etuvartio
24.812534600367602,60.2118485849981,Impilahdentie
24.8123633240622,60.2100275432891,Impilahdentie
24.8092627607732,60.2093643249239,Leirikatu
24.8102305894568,60.20911607255779,Leirikatu
24.804589676961196,60.2100300215546,Salmintie
24.800753511722696,60.210259667151796,Pikkalantie
24.7985137913763,60.2123555473509,Pikkalankulma
24.7983920632598,60.2117997802847,Pikkalankulma
24.8128617321988,60.217052551426704,Ratsutori
24.802153519719802,60.2173690207759,Ruusutorpan koulu
24.8159676298811,60.2215303731028,Arkadianportaat
24.820195819137997,60.2239457342988,Laturintörmä
24.8165277912266,60.222289871910604,Ylänteenkatu
24.8419532670599,60.2209821318632,Mäkkylän asema
24.8327809384408,60.220716865163,Kalkkipellonmäki
24.835132933039304,60.220262272618896,Kalkkipellonmäki
24.824496205230197,60.22346132780311,Postipuun koulu
24.8242343718967,60.223813010420706,Postipuun koulu
24.8224735537671,60.221229922746296,Postipuunkuja
24.8221199440454,60.221519339239705,Postipuunkuja
24.826264076426302,60.226313619321004,Mäkkyläntie
24.8175810089573,60.221834598948,Postipuu
24.825578682841396,60.226326859286296,Mäkkyläntie
24.8204730404421,60.2220411500907,Postipuunmäki
24.833895319026603,60.2276571541992,Kenttäpäällikönpuist
24.832796636273397,60.2213360985072,Ruutikellarintie
24.840128834886197,60.2251315490454,Sotarovastintie
24.8356226949019,60.2253305311574,Sotatuomari
24.834940956694197,60.226196499455796,Sotatuomari
24.8280572496804,60.2258626316315,Sotaneuvoksentie
24.828808082575303,60.226297760894795,Sotaneuvoksentie
24.825526810676603,60.2264169399452,Mestarinsilta
24.8258924251585,60.2280392870242,Mestarinsilta
24.8258903612183,60.22580432370461,Mäkkylänkuja
24.831983395423197,60.221996433228504,Ruutikellarintie
24.826976639042897,60.2237959551294,Mäkkylän puistotie
24.826786513587,60.223411179454295,Mäkkylän puistotie
24.8185155930141,60.222412266767904,Lvaaran Palvelutalo
24.805423472386302,60.2308039257819,Tikankolo
24.804560162551397,60.2309258452962,Tiaisentie
24.804950338245696,60.2306452311441,Tiaisentie
24.8125828883141,60.23422495373771,Uuttu
24.8092316297889,60.2359328672251,Lintuparvenaukio
24.814555355749697,60.2344282865291,Linnuntie
24.8142599249544,60.234160825058495,Linnuntie
24.8140167848592,60.236002351536506,Lintumetsänpiha
24.8132108493547,60.2362586117711,Lintumetsänpiha
24.813815764925298,60.2315336427872,Pikkulinnunreitti
24.8134488517766,60.2312935450315,Pikkulinnunreitti
24.8138192346046,60.2338583502192,Lintukulma
24.813279427729302,60.2331974496908,Lintukulma
24.812484895641102,60.230994270775206,Viserrystie
24.8274991658961,60.2309284671418,Mäkkylänmetsä
24.8260540519248,60.234464955873605,Lintulaakson koulu
24.826924659324604,60.2310487321132,Mäkkylänmetsä
24.8270597909864,60.2313979467221,Varusmiehentie
24.8216893474182,60.23459974829479,Lintulaakson koulu
24.8236036986662,60.23464174225511,Lintulaakson koulu
24.8224286708678,60.2338501799999,Lintulaakson koulu
24.8188654799547,60.2342761137918,Kirkkalankuja
24.818166566012696,60.2344778897111,Kirkkalankuja
24.8246214233881,60.2306052917961,Reserviläisentie
24.8248049584925,60.235038196298106,Nostoväenkuja
24.831667510229103,60.2351749051397,Lotankatu
